State,District,Arrival_Date,Sold_Amount/tonns,
maharastra,Ahmednagar,Jan,14,
maharastra,Akola,Jan,361,
maharastra,Amarawati,Jan,201,
maharastra,Aurangabad,Jan,2,
maharastra,Beed,Jan,87,
maharastra,Pune,Jan,52,
maharastra,Buldhana,Jan,728,
maharastra,Chandrapur,Jan,14,
maharastra,Hingoli,Jan,171,
maharastra,Jalana,Jan,77,
maharastra,Jalgaon,Jan,13,
maharastra,Latur,Jan,377,
maharastra,Nagpur,Jan,98,
maharastra,Nanded,Jan,82,
maharastra,Nandurbar,Jan,5,
maharastra,Nashik,Jan,21,
maharastra,Osmanabad,Jan,65,
maharastra,Parbhani,Jan,51,
maharastra,Sholapur,Jan,13,
maharastra,Vashim,Jan,991,
maharastra,Wardha,Jan,294,
maharastra,Yavatmal,Jan,276,
maharastra,Ahmednagar,Feb,437,
maharastra,Akola,Feb,5000,
maharastra,Amarawati,Feb,12660,
maharastra,Aurangabad,Feb,80,
maharastra,Beed,Feb,2608,
maharastra,Buldhana,Feb,12799,
maharastra,Chandrapur,Feb,369,
maharastra,Hingoli,Feb,2493,
maharastra,Jalana,Feb,1977,
maharastra,Jalgaon,Feb,165,
maharastra,Latur,Feb,30769,
maharastra,Nagpur,Feb,4032,
maharastra,Nanded,Feb,1172,
maharastra,Nandurbar,Feb,143,
maharastra,Nashik,Feb,705,
maharastra,Osmanabad,Feb,751,
maharastra,Parbhani,Feb,678,
maharastra,Pune,Feb,86,
maharastra,Sholapur,Feb,26,
maharastra,Vashim,Feb,18180,
maharastra,Wardha,Feb,9891,
maharastra,Yavatmal,Feb,6589,
maharastra,Ahmednagar,Mar,303,
maharastra,Akola,Mar,4105, 
maharastra,Amarawati,Mar,6874,
maharastra,Aurangabad,Mar,21,
maharastra,Beed,Mar,2114,
maharastra,Buldhana,Mar,12465,
maharastra,Chandrapur,Mar,335,
maharastra,Hingoli,Mar,1466,
maharastra,Jalana,Mar,1100,
maharastra,Jalgaon,Mar,68,
maharastra,Latur,Mar,23938,
maharastra,Nagpur,Mar,1993,
maharastra,Nanded,Mar,942,
